seq,cycles,kind,pc,addr,value,aux,r0,r1,r2,r3,r4,r5,r12,sp,lr
1,1887174,6,0x00002D62,0x00000001,0x0000007F,0x1,0x00000001,0x0000301D,0x51AEFF25,0x04000200,0x04000120,0x00000000,0x00000000,0x03007EA4,0x00002BAF
2,2163399,6,0x00000348,0x00000001,0x2000005F,0x1,0x00000001,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
3,2444295,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
4,2725191,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
5,3006087,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
6,3286983,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
7,3567879,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
8,3848775,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
9,4129671,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
10,4410567,6,0x00000348,0x00000001,0x6000005F,0x1,0x00000000,0x00000001,0x00000000,0x00000000,0x00000001,0xFFFFFFFF,0x04000000,0x03007EB0,0x00000344
